"cm_id","X_Easting","Y_Northing","timestamp","group"
"75",1430041.77191423,5083201.52721967,2020-02-07 06:07:22,74
"75",1430041.77191423,5083201.52721967,2020-02-07 06:12:12,75
"75",1430041.77191423,5083201.52721967,2020-02-07 06:17:01,76
"75",1430041.77191423,5083201.52721967,2020-02-07 06:22:21,77
"75",1430037.35292082,5083184.5168767,2020-02-07 06:27:12,78
"75",1430040.91715682,5083185.38783103,2020-02-07 06:32:02,79
"75",1430041.14437916,5083084.91187661,2020-02-07 06:47:03,82
"83",1430007.86893308,5083196.41981537,2020-02-07 00:27:28,6
"83",1430007.86893308,5083196.41981537,2020-02-07 00:32:08,7
"83",1430007.86893308,5083196.41981537,2020-02-07 00:37:19,8
"83",1430014.25281564,5083183.91482265,2020-02-07 00:42:26,9
"83",1430014.25281564,5083183.91482265,2020-02-07 00:47:07,10
"83",1430014.25281564,5083183.91482265,2020-02-07 00:52:16,11
"83",1430014.25281564,5083183.91482265,2020-02-07 00:57:26,12
"83",1430014.25281564,5083183.91482265,2020-02-07 01:02:06,13
"83",1430014.25281564,5083183.91482265,2020-02-07 01:07:16,14
"83",1430014.25281564,5083183.91482265,2020-02-07 01:12:25,15
"83",1430014.25281564,5083183.91482265,2020-02-07 01:17:06,16
"83",1430014.25281564,5083183.91482265,2020-02-07 01:22:14,17
"83",1430014.25281564,5083183.91482265,2020-02-07 01:27:21,18
"83",1430014.25281564,5083183.91482265,2020-02-07 01:32:29,19
"83",1430014.25281564,5083183.91482265,2020-02-07 01:37:09,20
"83",1430002.59731414,5083209.06494797,2020-02-07 01:42:18,21
"83",1430002.59731414,5083209.06494797,2020-02-07 01:47:27,22
"83",1430002.59731414,5083209.06494797,2020-02-07 01:52:11,23
"83",1430002.59731414,5083209.06494797,2020-02-07 01:57:19,24
"83",1430002.59731414,5083209.06494797,2020-02-07 02:02:27,25
"83",1430009.88222356,5083210.92212163,2020-02-07 03:02:19,37
"83",1430009.88222356,5083210.92212163,2020-02-07 03:07:05,38
"83",1430009.88222356,5083210.92212163,2020-02-07 03:12:19,39
"83",1430008.71923331,5083209.66913027,2020-02-07 03:47:03,46
"83",1430008.71923331,5083209.66913027,2020-02-07 03:57:07,48
"83",1429994.01191504,5083214.28762846,2020-02-07 04:02:23,49
"83",1430012.35155543,5083210.98648441,2020-02-07 04:07:11,50
"83",1430012.35155543,5083210.98648441,2020-02-07 04:12:29,51
"83",1430012.35155543,5083210.98648441,2020-02-07 04:17:17,52
"83",1430012.35155543,5083210.98648441,2020-02-07 04:22:06,53
"83",1430012.35155543,5083210.98648441,2020-02-07 04:32:14,55
"83",1430012.35155543,5083210.98648441,2020-02-07 04:37:03,56
"83",1430012.35155543,5083210.98648441,2020-02-07 04:57:21,60
"83",1430012.35155543,5083210.98648441,2020-02-07 05:02:12,61
"83",1430012.35155543,5083210.98648441,2020-02-07 05:07:03,62
"83",1430012.35155543,5083210.98648441,2020-02-07 05:12:22,63
"83",1430012.35155543,5083210.98648441,2020-02-07 05:17:12,64
"83",1430012.35155543,5083210.98648441,2020-02-07 05:22:02,65
"83",1430017.25398986,5083209.44697504,2020-02-07 05:27:21,66
"83",1430014.72965084,5083211.49307836,2020-02-07 05:32:13,67
"83",1430014.72965084,5083211.49307836,2020-02-07 05:37:03,68
"83",1430014.72965084,5083211.49307836,2020-02-07 05:42:22,69
"83",1429992.45945094,5083224.91780379,2020-02-07 06:07:25,74
"83",1429992.45945094,5083224.91780379,2020-02-07 06:12:14,75
"83",1429992.45945094,5083224.91780379,2020-02-07 06:17:08,76
"83",1429992.45945094,5083224.91780379,2020-02-07 06:22:27,77
"86",1430081.76723246,5083113.53625087,2020-02-07 06:42:15,81
"86",1430084.26684612,5083109.37758302,2020-02-07 06:47:11,82
"86",1430096.18776635,5083119.9141929,2020-02-07 06:52:28,83
"86",1430097.50412783,5083115.28008361,2020-02-07 06:57:03,84
"89",1430015.62425347,5083177.17026406,2020-02-07 08:07:23,98
"89",1430026.52547053,5083177.8989992,2020-02-07 08:12:07,99
"100",1430021.33439164,5083144.6402492,2020-02-07 00:02:16,1
"100",1430021.33439164,5083144.6402492,2020-02-07 00:07:02,2
"100",1430021.33439164,5083144.6402492,2020-02-07 00:12:19,3
"100",1430021.33439164,5083144.6402492,2020-02-07 00:17:02,4
"100",1430025.46380855,5083172.75831317,2020-02-07 00:22:16,5
